app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck,helpful,funny,date,is_recommended,hours,user_id,review_id,release_date,required_age,categories,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Free to Play,Action,Utilities,Animation & Modeling,Photo Editing,Education,Sports,Audio Production,Casual,Web Publishing,Accounting,Documentary,Sexual Content,Adventure,Video Production,Design & Illustration,Racing,Gore,Tutorial,RPG,Indie,Software Training,Simulation,Game Development,Massively Multiplayer,Early Access,Nudity,Strategy,Violent
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-04-07,1,22.3,5439006,960936,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-09-28,1,320.2,5122092,1167072,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-12-02,1,14.2,11659122,1170810,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
371970,Barony,2015-06-23,1,1,1,7,92,3713,20.0,0.0,0.0,1,0,0,2022-09-05,1,17.1,2532901,1189107,2015-06-23,0,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,141,1244,151,286,513,2,11.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
266410,iRacing,2015-01-12,1,0,0,7,82,1838,10.0,0.0,0.0,1,48,10,2022-12-01,1,153.0,335287,587649,2015-01-12,0,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,0,747,140,4,4,1,7.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
266410,iRacing,2015-01-12,1,0,0,7,82,1838,10.0,0.0,0.0,1,0,0,2022-03-25,1,131.3,12692167,783144,2015-01-12,0,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,0,747,140,4,4,1,7.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
613100,House Flipper,2018-05-17,1,1,0,7,93,69534,25.0,0.0,0.0,1,0,0,2021-03-02,1,66.0,988548,6933,2018-05-17,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,26,7019,1761,520,350,2,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
613100,House Flipper,2018-05-17,1,1,0,7,93,69534,25.0,0.0,0.0,1,0,2,2022-10-18,1,15.3,12385625,20192,2018-05-17,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,26,7019,1761,520,350,2,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
613100,House Flipper,2018-05-17,1,1,0,7,93,69534,25.0,0.0,0.0,1,0,0,2022-05-30,1,27.2,2568354,25860,2018-05-17,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,26,7019,1761,520,350,2,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
613100,House Flipper,2018-05-17,1,1,0,7,93,69534,25.0,0.0,0.0,1,0,0,2020-04-05,1,147.2,9800543,35120,2018-05-17,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,26,7019,1761,520,350,2,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
